nemonico,variable,orden,decimales,caracteres,nemonico2
29311h,Temperatura del aire Max,1,1,3,029030101h
29321h,Temperatura del aire Min,2,1,3,029030201h
29341h,Temperatura del aire Avg,3,1,3,029030401h
9111h,Humedad Relativa Max,4,0,3,009010101h
9121h,Humedad Relativa Min,5,0,3,009010201h
9141h,Humedad Relativa Avg,6,0,3,009010401h
18711h,Presión Atmosférica Max,7,1,3,018070101h
18721h,Presión Atmosférica Min,8,1,3,018070201h
18741h,Presión Atmosférica Avg,9,1,3,018070401h
171481h,Precipitación  Sum,10,2,3,017140801h
,Intensidad de precipitación máxima en una hora,,2,3,
,Intensidad de precipitación mínima en una hora,,2,3,
,Intensidad de precipitación promedio en una hora,,2,3,
,Calidad del dato,11,0,3,
4241h,Dirección Viento DirAvg,40,0,3,004020401h
4211h,Dirección Viento DirMax,41,0,3,004020101h
4221h,Dirección Viento DirMin,42,0,3,004020201h
371141h,Velocidad Viento SpdAvg,43,1,3,037110401h
371111h,Velocidad Viento SpdMax,44,1,3,037110101h
371121h,Velocidad Viento SpdMin,45,1,3,037110201h
3919161h,Batería DC,46,2,3,039191601h
